otus	M31Fcsw	M11Fcsw	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	TS28	TS29
951	0	0	0	0	0	0	0	0	0
155495	0	0	0	0	0	0	0	0	0
1029	0	0	0	0	0	0	0	0	0
341551	0	0	0	0	0	0	0	0	0
108964	0	0	1	0	1	0	1	10	3
330416	0	0	0	0	0	0	0	0	0
546313	0	1	0	0	1	0	0	0	1
548602	0	0	0	0	0	0	0	0	0
564501	0	0	0	0	0	0	1	0	0
47778	0	0	0	0	0	0	0	0	0
54107	0	0	0	0	0	0	0	1	1
25116	0	0	0	0	0	0	0	0	0
71074	1	0	1	1	0	1	0	0	1
252853	0	0	0	0	0	0	0	0	0
100679	0	0	1	0	0	0	1	2	0
540349	0	0	0	0	0	0	0	0	0
101071	0	0	1	0	0	0	0	0	0
1143	0	0	0	0	0	0	0	0	0
141739	0	0	0	0	0	0	0	0	0
548723	0	0	0	0	0	0	0	0	0
542636	0	0	0	0	0	0	0	0	0
526502	0	0	0	0	0	0	0	0	0
152431	0	0	0	0	4	25	25	0	0
55681	0	0	0	0	0	9	7	0	0
206978	0	0	0	0	4	26	38	0	0
467541	0	0	0	0	0	0	0	0	0
557121	0	0	0	0	0	1	0	0	0
524986	0	0	0	0	0	1	0	0	0
212360	0	0	0	0	1	0	0	0	0
79	0	0	0	0	23	70	86	0	0
101553	0	0	0	2	26	71	59	0	1
150294	0	0	0	0	0	0	0	0	0
547463	0	0	0	0	0	0	0	0	0
227785	27	54	1	0	7	0	0	1566	1668
368907	0	0	1	0	0	0	0	0	0
12724	0	0	0	0	0	0	0	0	0
93749	0	0	0	0	0	0	0	0	0
165106	0	0	0	0	0	0	0	0	0
137567	0	0	0	0	4	0	0	0	0
99516	0	0	0	0	0	0	0	0	0
12789	0	0	0	0	0	0	0	0	0
140932	0	0	0	0	0	0	0	0	0
255749	0	0	0	0	0	0	0	0	0
305897	0	0	0	0	0	0	0	0	0
150663	0	0	0	0	0	0	0	0	0
12029	0	0	0	0	0	0	0	0	0
554990	0	0	0	0	0	0	0	0	0
12039	0	0	0	0	0	0	0	0	0
12045	0	0	0	0	0	0	0	0	0
576085	0	0	0	0	0	0	0	0	0
104948	0	0	0	0	0	0	0	0	0
12046	0	0	0	0	0	0	0	0	0
100757	0	0	0	0	0	0	0	0	0
246769	0	0	0	0	0	0	0	0	0
105568	0	0	0	0	0	0	0	0	0
25615	0	0	0	0	0	0	0	0	0
11984	0	0	0	0	0	0	0	0	0
89696	0	0	0	0	0	0	0	0	0
471203	0	0	0	0	0	0	0	0	0
589503	0	0	0	0	0	0	0	0	0
19369	0	0	0	0	0	0	0	0	0
23223	0	0	0	0	0	0	0	0	0
319018	0	0	0	0	0	0	0	0	0
12151	0	0	0	0	0	0	0	0	0
12098	0	0	0	0	0	0	1	0	0
12065	0	0	0	0	0	0	0	0	0
12131	0	0	0	0	0	0	0	0	0
