otus	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm
951	0	1	0	0	0	0	0	0	0	0
155495	0	0	0	0	0	0	0	0	0	0
1029	0	0	0	0	0	0	0	0	0	0
341551	0	0	0	0	0	0	0	0	0	0
108964	0	2	6	1	0	1	0	1	0	1
330416	0	0	0	0	0	0	0	0	0	0
546313	1	0	1	1	0	0	0	1	0	0
548602	0	0	0	0	0	0	0	0	0	0
564501	0	0	0	0	0	0	0	0	0	1
47778	0	5	0	0	0	0	0	0	0	0
54107	0	3	35	0	0	0	0	0	0	0
25116	0	0	1	0	0	0	0	0	0	0
71074	23	48	58	2	0	1	1	0	1	0
252853	0	0	0	0	0	0	0	0	0	0
100679	5	11	19	0	0	1	0	0	0	1
540349	0	1	0	0	0	0	0	0	0	0
101071	11	0	8	0	0	1	0	0	0	0
1143	0	0	0	0	0	0	0	0	0	0
141739	0	0	0	0	0	0	0	0	0	0
548723	0	0	0	0	0	0	0	0	0	0
542636	0	0	0	0	0	0	0	0	0	0
526502	0	0	0	0	0	0	0	0	0	0
152431	0	0	0	0	0	0	0	4	25	25
55681	0	0	0	0	0	0	0	0	9	7
206978	0	0	0	0	0	0	0	4	26	38
467541	0	0	0	0	0	0	0	0	0	0
557121	0	0	0	0	0	0	0	0	1	0
524986	0	0	0	0	0	0	0	0	1	0
212360	0	0	0	0	0	0	0	1	0	0
79	0	0	0	0	0	0	0	23	70	86
101553	0	0	0	0	0	0	2	26	71	59
150294	0	0	0	0	0	0	0	0	0	0
547463	0	0	0	0	0	0	0	0	0	0
227785	0	0	0	4	0	1	0	7	0	0
368907	254	292	20	1	2	1	0	0	0	0
12724	2	1	0	0	0	0	0	0	0	0
93749	1	0	0	0	0	0	0	0	0	0
165106	0	0	0	0	0	0	0	0	0	0
137567	8	2	0	0	0	0	0	4	0	0
99516	1	5	0	0	0	0	0	0	0	0
12789	1	0	0	0	0	0	0	0	0	0
140932	1	0	0	0	0	0	0	0	0	0
255749	6	32	4	0	1	0	0	0	0	0
305897	2	1	1	0	0	0	0	0	0	0
150663	0	0	0	0	0	0	0	0	0	0
12029	0	0	0	0	0	0	0	0	0	0
554990	0	1	0	0	0	0	0	0	0	0
12039	0	1	0	8	0	0	0	0	0	0
12045	0	0	0	0	0	0	0	0	0	0
576085	2	6	1	0	0	0	0	0	0	0
104948	0	0	0	0	0	0	0	0	0	0
12046	0	0	2	0	0	0	0	0	0	0
100757	0	0	2	1	1	0	0	0	0	0
246769	0	0	0	0	0	0	0	0	0	0
105568	0	0	0	0	0	0	0	0	0	0
25615	6	0	0	0	0	0	0	0	0	0
11984	0	0	0	0	0	0	0	0	0	0
89696	0	22	2	0	0	0	0	0	0	0
471203	0	0	0	0	0	0	0	0	0	0
589503	1	0	1	0	0	0	0	0	0	0
19369	0	0	0	0	0	0	0	0	0	0
23223	0	0	0	0	0	0	0	0	0	0
319018	0	0	0	0	0	0	0	0	0	0
12151	0	0	0	0	0	0	0	0	0	0
12098	0	0	0	0	0	0	0	0	0	1
12065	0	0	0	0	0	0	0	0	0	0
12131	1	0	0	2	0	0	0	0	0	0
214752	0	0	0	0	0	0	0	0	0	0
154705	8	0	5	0	0	0	0	0	0	0
533172	0	1	0	0	1	32	1	0	0	0
54677	0	0	0	0	0	0	0	0	0	0
13016	0	0	0	0	0	0	0	0	0	0
13013	0	0	5	0	0	1	0	0	0	0
31830	1	17	1	0	0	0	0	0	0	0
85863	0	12	0	0	0	0	0	0	0	0
175954	19	80	46	0	0	1	2	3	2	4
12913	0	2	0	0	0	0	0	0	0	0
133017	0	0	0	0	0	0	0	0	0	0
12970	0	5	0	0	0	0	0	0	0	0
248764	0	0	0	0	0	0	0	0	0	0
246206	0	2	0	0	0	0	0	0	0	0
33829	0	1	0	0	0	0	0	0	0	1
12979	3	4	0	0	0	0	0	1	0	0
12995	0	0	0	0	0	0	0	0	0	0
12993	0	0	0	0	0	0	0	0	0	0
238963	0	0	0	1	1	0	0	1	1	0
240258	0	0	0	0	0	0	0	0	0	0
515421	0	0	0	1	0	0	0	0	0	0
12808	0	0	0	0	0	0	0	0	0	0
369289	0	0	0	0	0	0	0	0	1	1
43093	0	0	1	1	0	1	0	0	1	0
38986	0	0	0	0	0	0	0	0	0	0
265094	14	15	1	1	1	0	0	1	0	2
273055	9	42	73	4	0	1	1	3	2	1
536662	0	0	0	1	0	0	0	2	1	0
250002	2	1	0	0	0	0	0	2	0	0
34467	2	0	0	0	0	0	0	0	0	0
33446	0	0	0	0	0	0	0	0	0	0
33286	0	0	0	0	0	0	0	2	2	1
18850	0	0	0	0	0	0	0	0	0	0
278310	0	0	0	0	0	0	0	0	0	0
332727	0	0	0	0	0	0	0	0	0	0
151293	3	0	0	0	0	0	0	0	0	1
352835	0	0	0	0	0	0	0	0	0	1
258956	0	0	0	0	0	0	0	2	2	6
308245	3	1	0	0	0	0	0	0	0	0
253324	0	0	0	0	0	0	3	5	14	41
242867	0	0	0	0	0	0	0	6	3	3
250390	0	0	0	0	0	0	0	1	0	0
199229	0	0	0	0	0	0	0	0	0	0
236179	1	5	0	0	0	1	0	2	1	1
11428	1	12	6	0	0	1	0	1	0	0
575032	0	0	0	0	0	0	0	0	0	0
242751	21	88	22	0	1	5	7	0	0	0
80600	0	0	1	0	0	0	0	0	0	0
12296	4	51	0	25	0	2	1	0	0	0
148208	0	2	0	0	0	0	0	0	0	0
212534	0	0	0	2	0	37	1	1	1	0
73379	1	4	1	0	1	9	0	1	1	0
12163	0	0	0	0	0	7	0	0	0	0
311254	1	2	0	0	4	223	3	0	1	0
240200	0	0	0	8	101	9210	1164	16	5	20
240435	0	5	2	11	26	1301	68	8	10	8
21685	0	0	0	1	4	75	0	0	0	1
323846	1	0	0	0	0	1	0	0	0	0
172749	0	0	0	0	0	0	0	0	0	0
349277	26	5	2	0	0	2	1	2	4	1
348790	1	1	0	0	0	3	0	0	0	0
130665	1	1	0	1	0	27	0	0	0	2
266945	1	0	2	0	0	5	0	3	0	2
12168	0	0	0	0	0	2	0	0	0	0
79881	5	13	4	0	0	33	0	1	1	6
19936	56	17	7	0	0	141	17	3	1	0
50557	1	1	2	0	0	4	1	2	9	7
35440	63	106	29	0	1	120	17	3	3	2
173906	0	2	0	0	0	0	0	0	2	0
12175	1	0	0	0	0	23	0	1	0	0
95950	1	0	3	0	0	0	0	0	0	0
277142	0	0	2	0	0	0	0	0	0	0
29284	4	93	2	1	0	0	5	2	2	3
145846	75	140	63	2	0	0	1	1	2	2
12533	16	285	10	0	0	0	0	1	0	0
12541	21	28	1	2	0	3	1	0	0	0
104526	7	7	1	1	0	0	1	0	0	0
88451	0	0	0	0	0	0	0	0	0	0
557925	0	0	0	0	0	0	0	0	0	0
101394	7	5	13	0	0	1	1	1	1	1
12343	5	32	7	0	0	1	0	0	9	13
177558	0	2	1	0	0	0	0	0	0	0
12346	34	4	23	0	0	1	0	4	24	38
195654	0	2	1	0	0	0	0	0	0	0
72525	1	0	0	0	0	0	0	0	0	0
152486	1	0	0	0	0	0	0	0	0	0
285868	0	0	0	0	0	0	0	0	0	0
77730	0	0	0	0	0	0	0	1	1	1
12592	36	0	0	0	0	0	0	0	0	0
71888	1	0	1	0	0	0	0	0	0	0
33696	1	1	0	14	0	0	0	0	0	0
245707	0	1	0	3	0	0	0	0	0	0
470273	95	0	165	0	1	0	0	0	0	0
12561	110	4	60	7	1	0	0	0	2	0
12562	22	0	0	0	0	0	0	0	0	0
470693	105	17	0	0	0	0	0	0	0	0
131783	45	118	2	0	1	1	0	0	0	0
12569	3	0	0	5	1	0	0	0	0	0
36025	149	9	2	0	0	0	0	0	0	0
